character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed
127,Vivian,Paper Mario: The Thousand Year Door,2004,,,,,unknown,unknown,other,not_recorded,gender_identity,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/09/11/vivian,LGBTQ Video Game Archive classification: transgender:implicit. Source page: Vivian in Paper Mario.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
128,Damone LaCoque,Leisure Suit Larry: Box Office Bust,2009,,,,,unknown,unknown,man,bisexual,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/09/10/damone-lacoque-in-leisure-suit-larry-box-office-bust,LGBTQ Video Game Archive classification: bisexual:implicit. Source page: Damone LaCoque in Leisure Suit Larry: Box Office Bust.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
129,Ione,Leisure Suit Larry: Magna Cum Laude,2004,,,,,unknown,unknown,woman,lesbian,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/09/10/ione-in-leisure-suit-larry-magna-cum-laude,LGBTQ Video Game Archive classification: lesbian:explicit. Source page: Ione in Leisure Suit Larry: Magna Cum Laude.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
130,Luba,Leisure Suit Larry: Magna Cum Laude,2004,,,,,unknown,unknown,woman,bisexual,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/09/10/luba-in-leisure-suit-larry-magna-cum-laude,LGBTQ Video Game Archive classification: bisexual:implicit. Source page: Luba in Leisure Suit Larry: Magna Cum Laude.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
131,Fang,Final Fantasy XIII,2009,,,,,unknown,playable,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2018/06/24/fang-and-vanille-in-final-fantasy-iii,LGBTQ Video Game Archive classification: lesbian:implicit. Source page: Fang and Vanille in Final Fantasy III.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
132,Vanille,Final Fantasy XIII,2009,,,,,unknown,playable,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2018/06/24/fang-and-vanille-in-final-fantasy-iii,LGBTQ Video Game Archive classification: lesbian:implicit. Source page: Fang and Vanille in Final Fantasy III.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
133,Quina Quen,Final Fantasy IX,2000,,,,,unknown,playable,non_binary,not_recorded,gender_identity,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/12/12/quina-quen-in-final-fantasy-ix,LGBTQ Video Game Archive classification: non-binary or genderqueer:explicit. Source page: Quina Quen in Final Fantasy IX.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
134,Lady Howard,Gabriel Knight 3: Blood of the Sacred Blood of the Damned,1999,,,,,unknown,unknown,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/08/27/lady-howard-and-estelle-stiles-in-gabriel-knight-blood-of-the-sacred-blood-of-the-damned,"LGBTQ Video Game Archive classification: lesbian:implicit. Source page: Lady Howard and Estelle Stiles in Gabriel Knight: Blood of the Sacred, Blood of the Damned.",,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
135,Estelle Stiles,Gabriel Knight 3: Blood of the Sacred Blood of the Damned,1999,,,,,unknown,unknown,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/08/27/lady-howard-and-estelle-stiles-in-gabriel-knight-blood-of-the-sacred-blood-of-the-damned,"LGBTQ Video Game Archive classification: lesbian:implicit. Source page: Lady Howard and Estelle Stiles in Gabriel Knight: Blood of the Sacred, Blood of the Damned.",,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
136,Bjornolfr,The Elder Scrolls V: Skyrim,2011,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2019/09/16/bjornolfr-and-hrodulf-in-the-elder-scrolls-v-skyrim,LGBTQ Video Game Archive classification: gay:explicit. Source page: Bjornolfr and Hrodulf in The Elder Scrolls V: Skyrim.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
137,Hrodulf,The Elder Scrolls V: Skyrim,2011,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2019/09/16/bjornolfr-and-hrodulf-in-the-elder-scrolls-v-skyrim,LGBTQ Video Game Archive classification: gay:explicit. Source page: Bjornolfr and Hrodulf in The Elder Scrolls V: Skyrim.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
138,Boethiah,The Elder Scrolls: Morrowind,2002,,,,,unknown,unknown,non_binary,not_recorded,gender_identity,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2016/09/05/boethiah-in-the-elder-scrolls-iii-morrowind,LGBTQ Video Game Archive classification: non-binary or genderqueer:explicit. Source page: Boethiah in The Elder Scrolls III: Morrowind.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
139,Mephala,The Elder Scrolls: Morrowind,2002,,,,,unknown,unknown,not_recorded,not_recorded,intersex_variation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2016/09/05/mephala-in-the-elder-scrolls-iii-morrowind,LGBTQ Video Game Archive classification: intersex:explicit. Source page: Mephala in The Elder Scrolls III: Morrowind.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
140,Molag Bal,The Elder Scrolls: Morrowind,2002,,,,,unknown,unknown,not_recorded,not_recorded,intersex_variation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2016/09/05/molag-bal-in-the-elder-scrolls-iii-morrowind,LGBTQ Video Game Archive classification: intersex:explicit. Source page: Molag Bal in The Elder Scrolls III: Morrowind.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
141,Crassius Curio,The Elder Scrolls: Morrowind,2002,,,,,unknown,unknown,not_recorded,bisexual,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2016/09/05/crassius-curio-in-the-elder-scrolls-morrowind,LGBTQ Video Game Archive classification: bisexual:explicit. Source page: Crassius Curio in The Elder Scrolls: Morrowind.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
142,Vivec,The Elder Scrolls: Morrowind,2002,,,,,unknown,unknown,non_binary,bisexual,sexual_orientation; gender_identity; intersex_variation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2016/09/05/vivec-in-the-elder-scrolls-iii-morrowind,"LGBTQ Video Game Archive classification: bisexual:explicit, non-binary or genderqueer:explicit, intersex:explicit. Source page: Vivec in The Elder Scrolls III: Morrowind.",,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
143,Alex Richards,Fallout: New Vegas,2010,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/12/02/alex-richards-in-fallout-new-vegas,LGBTQ Video Game Archive classification: gay:explicit. Source page: Alex Richards in Fallout: New Vegas.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
144,Anthony “Gay Tony” Prince,Grand Theft Auto: The Ballad of Gay Tony,2010,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/09/14/anthony-gay-tony-prince-in-grand-theft-auto-the-ballad-of-gay-tony,LGBTQ Video Game Archive classification: gay:explicit. Source page: Anthony “Gay Tony” Prince in Grand Theft Auto: The Ballad of Gay Tony.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
145,Anthony Ling,Fallout 3,2008,,,,,unknown,unknown,man,gay,sexual_orientation,not_explicit_in_game,ambiguous,,,https://lgbtqgamearchive.com/2015/11/25/anthony-ling-in-fallout-3,LGBTQ Video Game Archive classification: gay:implicit. Source page: Anthony Ling in Fallout 3.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-22
146,Arcade Gannon,Fallout: New Vegas,2010,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/12/01/arcade-gannon-in-fallout-new-vegas,LGBTQ Video Game Archive classification: gay:explicit. Source page: Arcade Gannon in Fallout: New Vegas.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
147,Bernie Crane (Florian Cravic),Grand Theft Auto IV,2008,,,,,unknown,unknown,man,gay,sexual_orientation,explicit_in_game,confirmed,,,https://lgbtqgamearchive.com/2015/09/11/bernie-crane-florian-cravic-in-grand-theft-auto-iv,LGBTQ Video Game Archive classification: gay:explicit. Source page: Bernie Crane (Florian Cravic) in Grand Theft Auto IV.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-22
