reason,reference_label,parent_game_titles,parent_release_years,reference_page_title,category_names,reference_url
evidence_registered_in_other_unit,Baths at Buccaneer’s Den,Ultima VI: The False Prophet; Ultima VII: The Black Gate; Ultima VII Part II: Serpent Isle; Ultima V: Lazarus,1990; 1992; 1993; 2005,Baths at Buccaneer’s Den in Ultima VII: Black Gate,1990s; Relationships/Romance/Sex; Sex Workers and Bisexuality,https://lgbtqgamearchive.com/2015/09/11/baths-at-buccaneers-den-in-ultima-vii-black-gate
evidence_registered_in_other_unit,Gay villains,Vendetta,1991,Gay villains in Vendetta,1990s; Changed in localization; Gay; Gay (explicit); Homophobia; Homophobia/Transphobia; Queer Men,https://lgbtqgamearchive.com/2015/08/25/gay-villains-in-vendetta
no_explicit_or_implicit_identity_category,Adel,Final Fantasy V; Final Fantasy VII; Final Fantasy VIII; Final Fantasy IX; Final Fantasy X; Final Fantasy XIII; Final Fantasy XIV: A Realm Reborn,1992; 1997; 1999; 2000; 2001; 2009; 2014,Adel in Final Fantasy VIII,1990s; Characters; Gender non-conforming,https://lgbtqgamearchive.com/2015/12/10/adel-in-final-fantasy-viii
group_or_non_character_subject,Gay NPC couple,Final Fantasy V; Final Fantasy VII; Final Fantasy VIII; Final Fantasy IX; Final Fantasy X; Final Fantasy XIII; Final Fantasy XIV: A Realm Reborn,1992; 1997; 1999; 2000; 2001; 2009; 2014,Gay NPCs in Final Fantasy XIV,2010s; Gay; Gay (explicit); Queer Men,https://lgbtqgamearchive.com/2015/09/10/gay-npcs-in-final-fantasy-xiv
evidence_registered_in_other_unit,Homosexuality and Werewolves,Gabriel Knight: Sins of the Fathers; Gabriel Knight 2: The Beast Within; Gabriel Knight 3: Blood of the Sacred Blood of the Damned,1993; 1995; 1999,Homosexuality and Werewolves in Gabriel Knight,1990s; Gay; Gay (implicit); Queer Men,https://lgbtqgamearchive.com/2015/08/27/homosexuality-and-werewolves-in-gabriel-knight
evidence_registered_in_other_unit,Gay ending,Plumbers Don’t Wear Ties,1994,Gay ending in Plumbers Don’t Wear Ties,1990s; Gay; Gay (explicit); Homophobia; Mentions; Mentions (explicit); Optional Relationship; Queer Men,https://lgbtqgamearchive.com/2015/08/30/gay-ending-in-plumbers-dont-wear-ties
requires_queer_reading_unit,Leo,Tekken; Tekken 5; Tekken 6,1994; 2004; 2007,Leo in Tekken series,2000s; Characters; Non-binary or genderqueer; Non-binary or Genderqueer (explicit); Playable Character,https://lgbtqgamearchive.com/2015/11/20/leo-in-tekken-series
group_or_non_character_subject,The Magypsies,Earthbound; Mother 3,1994; 2006,The Magypsies in Mother 3,2000s; Games by Decade; Gender non-conforming; Non-binary or genderqueer; Non-binary or Genderqueer (implicit),https://lgbtqgamearchive.com/?p=11973
group_or_non_character_subject,Argonians,The Elder Scrolls: Daggerfall; The Elder Scrolls: Battlespire; The Elder Scrolls: Morrowind; The Elder Scrolls: Oblivion; The Elder Scrolls V: Skyrim; The Elder Scrolls: Skyrim- Dragonborn expansion; The Elder Scrolls Online,1996; 1997; 2002; 2006; 2011; 2012; 2014,The Argonians and Sexual Development in The Elder Scrolls III: Morrowind,2000s; Non-binary or genderqueer; Non-binary or Genderqueer (explicit); Transgender; Transgender (explicit),https://lgbtqgamearchive.com/2016/09/05/the-argonians-and-sexual-development-in-the-elder-scrolls-iii-morrowind
group_or_non_character_subject,Buoyant Armigers,The Elder Scrolls: Daggerfall; The Elder Scrolls: Battlespire; The Elder Scrolls: Morrowind; The Elder Scrolls: Oblivion; The Elder Scrolls V: Skyrim; The Elder Scrolls: Skyrim- Dragonborn expansion; The Elder Scrolls Online,1996; 1997; 2002; 2006; 2011; 2012; 2014,The Buoyant Armigers in the Elder Scrolls III: Morrowind,2000s; Bisexual; Bisexual (implicit); Characters; Gay; Gay (implicit); Queer Men,https://lgbtqgamearchive.com/2016/09/05/the-buoyant-armigers-in-the-elder-scrolls-iii-morrowind
evidence_registered_in_other_unit,Firemen,Harvester,1996,Firemen in Harvester,1990s; Gay; Gay (explicit); Homophobia; Queer Men,https://lgbtqgamearchive.com/2015/08/31/firemen-in-harvester
group_or_non_character_subject,LGB Characters,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,LGB Characters in Grand Theft Auto: San Andreas,2000s; Gay; Gay (explicit); Gay (implicit); Homophobia; Lesbian; Lesbian (explicit); Queer Men; Queer Women,https://lgbtqgamearchive.com/2015/09/08/lgb-characters-in-grand-theft-auto-san-andreas
group_or_non_character_subject,LGB Love-meet.net users,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,LGB Love-meet.net Users in Grand Theft Auto IV,2000s; Asexual; Asexual (explicit); Asexual (Implicit); Bisexual; Bisexual (implicit); Gay; Gay (explicit); Queer Men; Queer Women,https://lgbtqgamearchive.com/2015/09/11/lgb-love-meet-net-users-in-grand-theft-auto-iv
group_or_non_character_subject,LGBT Media Personalities,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,LGBT Media Personalities in Grand Theft Auto IV,2000s; Gay; Gay (implicit); Homophobia; Homophobia/Transphobia; Queer Men; Transgender; Transgender (explicit); Transphobia,https://lgbtqgamearchive.com/2015/09/12/lgbt-media-personalities-in-grand-theft-auto-iv
group_or_non_character_subject,LGBT NPCs in LCPD Database,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,LGBT NPCs in LCPD Database in Grand Theft Auto IV,2000s; Cross-dressing; Gay; Gay (explicit); Gay (implicit); Gender non-conforming; Queer Men; Transgender; Transgender (implicit),https://lgbtqgamearchive.com/2015/09/12/lgbt-npcs-in-lcpd-database-in-grand-theft-auto-iv
no_explicit_or_implicit_identity_category,Mentions of homosexuality,Fallout; Fallout 2; Fallout: Brotherhood of Steel; Fallout 3; Fallout: New Vegas; Fallout 4,1997; 1998; 2004; 2008; 2010; 2015,Mentions of homosexuality in Fallout: New Vegas,2010s; Characters; Mentions; Mentions (explicit),https://lgbtqgamearchive.com/2015/12/02/mentions-of-homosexuality-in-fallout-new-vegas
group_or_non_character_subject,OG Loc Mission,Grand Theft Auto; Grand Theft Auto II; Grand Theft Auto III; Grand Theft Auto: Vice City; Grand Theft Auto: San Andreas; Grand Theft Auto: Liberty City Stories; Grand Theft Auto: Vice City Stories; Grand Theft Auto IV; Grand Theft Auto: The Lost and Damned; Grand Theft Auto: The Ballad of Gay Tony; Grand Theft Auto V,1997; 1999; 2001; 2002; 2004; 2005; 2006; 2008; 2009; 2010; 2013,OG Loc Mission in Grand Theft Auto: San Andreas,2000s; Gay; Gay (implicit); Homophobia; Queer Men,https://lgbtqgamearchive.com/2015/09/10/og-loc-mission-in-grand-theft-auto-san-andreas
