reading_id,game_title,release_year,subject,subject_type,reading_type,reading_status,reading_summary,counterevidence,evidence_source,notes,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed
1,The Legend of Zelda: Ocarina of Time,1998,Sheik / Princess Zelda,character,gender_identity,creator_refuted,"Critics and fans have read Zelda's presentation as Sheik as transgender, gender-ambiguous, or a disruption of the gender binary.","A Nintendo representative described Sheik as a woman and as Zelda in a different outfit. This record documents the reading and debate; it does not classify Sheik or Zelda as a transgender character.",https://lgbtqgamearchive.com/2015/08/27/queerness-in-legend-of-zelda-series/,"The archive labels the case queerly read or rumored rather than confirmed representation.",en,LGBTQ Video Game Archive,reviewed,high,Nintendo 64,2026-08-21
2,The Legend of Zelda: Majora’s Mask,2000,Tingle,character,sexuality,creator_refuted,"Fans and critics have speculated that Tingle may be gay, often through readings of his camp presentation and gender expression.","Nintendo stated that Tingle was not intended to be a gay character. Mannerisms and presentation alone are not evidence of sexual orientation.",https://lgbtqgamearchive.com/2015/08/27/queerness-in-legend-of-zelda-series/,"Preserved as reception history and not counted as a gay character record.",en,LGBTQ Video Game Archive,reviewed,high,Nintendo 64,2026-08-21
3,The Legend of Zelda series,1986,Link (series incarnations),character,sexuality,contested,"Several articles have proposed that Link, or particular incarnations of Link, could be gay.","The archive describes the arguments as inconclusive, and the games do not establish a fixed sexual orientation shared by Link's different incarnations.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"The subject spans distinct incarnations and is therefore unsuitable for a canonical character-identity row.",en,LGBTQ Video Game Archive,reviewed,medium,Nintendo platforms,2026-08-21
4,The Legend of Zelda: Ocarina of Time,1998,Impa,character,gender_expression,queerly_read,"One critical essay includes Impa among characters that can be read as queer or gender-nonconforming.","The archive found no corroborating analyses and records no explicit identity evidence for Impa.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"A single critical reading is retained without converting gender expression into an identity claim.",en,LGBTQ Video Game Archive,reviewed,low,Nintendo 64,2026-08-21
5,The Legend of Zelda: Ocarina of Time,1998,Nabooru,character,gender_expression,queerly_read,"One critical essay includes Nabooru among characters that can be read as queer or gender-nonconforming.","The archive found no corroborating analyses and records no explicit identity evidence for Nabooru.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"A single critical reading is retained without converting gender expression into an identity claim.",en,LGBTQ Video Game Archive,reviewed,low,Nintendo 64,2026-08-21
6,The Legend of Zelda: Ocarina of Time,1998,Gerudo,character_group,gender_expression,queerly_read,"One critical essay reads the Gerudo collectively through queer or gender-nonconforming themes.","The archive found no corroborating analyses, and a cultural group is not treated as sharing one sexuality or gender identity.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"Recorded as a reading of a character group rather than individual identity evidence.",en,LGBTQ Video Game Archive,reviewed,low,Nintendo 64,2026-08-21
7,The Legend of Zelda: Ocarina of Time,1998,Great Fairies,character_group,gender_expression,queerly_read,"One critical essay includes the Great Fairies among figures that can be read as queer or gender-nonconforming.","The archive found no corroborating analyses and records no explicit identity evidence for the Great Fairies.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"Recorded as reception and aesthetic interpretation rather than a canonical identity.",en,LGBTQ Video Game Archive,reviewed,low,Nintendo 64,2026-08-21
8,The Legend of Zelda: Ocarina of Time,1998,Carpenters,character_group,sexuality,contested,"Some articles and forum discussions have described the carpenters as gay because of their walk and because they call Link a cute kid.","The cited traits are stereotype-based and do not establish sexual orientation; the archive describes any gay coding as highly implicit.",https://lgbtqgamearchive.com/games/game-series/the-legend-of-zelda-series/,"Preserved to document audience interpretation and stereotyping, not counted as gay character records.",en,LGBTQ Video Game Archive,reviewed,low,Nintendo 64,2026-08-21
9,Resident Evil: Code Veronica,2000,Alfred Ashford,character,gender_expression,contested,"Alfred impersonates his absent twin sister Alexia, adopts a second persona bearing her identity, and wears her clothing. This presentation has been catalogued through cross-dressing, gender-nonconformity, and transphobic-coding lenses.","The story frames the presentation as impersonation connected to Alfred's deteriorating mental state and relationship with Alexia; it does not identify Alfred as transgender. Clothing, disguise, and a second persona do not by themselves establish gender identity.",https://lgbtqgamearchive.com/2015/09/03/alfred-ashford-in-resident-evil-code-veronica/,"Retained as a historically relevant queer reading and example of potentially stigmatizing horror coding. Alfred is not counted as a confirmed transgender character in Press Q analytics.",en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21
10,Resident Evil: Dead Aim,2003,Morpheus Duvall,character,gender_identity,contested,"Morpheus uses a virus that transforms his body into a Tyrant form described by some sources as a female version of himself. This transformation has generated implicit-transgender and gender-nonconforming readings.","The game presents the bodily change as a viral mutation and does not explicitly identify Morpheus as transgender or state a changed gender identity. A feminized monster form is not sufficient evidence of a canonical trans identity.",https://lgbtqgamearchive.com/2015/09/03/morpheus-duvall-in-resident-evil-dead-aim/,"Recorded to document reception, gendered body-horror imagery, and possible transphobic coding without converting the interpretation into a confirmed character record.",en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21
11,Questprobe Featuring Spider-Man,1984,Electro,character,sexuality,contested,"Some fans have read Electro as bisexual, and the interpretation has circulated alongside lists of LGBTQ+ Marvel characters in games.","The archive describes the claim as suspected and cites a fan-forum discussion rather than canonical game text, creator confirmation, or a supported Marvel identity. Repeated appearances in games do not establish sexual orientation.",https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"Preserved as reception history with low confidence in the documentation base. Electro is not counted as a confirmed bisexual character.",en,LGBTQ Video Game Archive,reviewed,low,Base game,2026-08-21
12,Marvel Avengers Academy,2016,Iron Man / Captain America,relationship,sexuality,queerly_read,"Iron Man dialogue alludes to the large body of fan fiction that pairs him romantically or sexually with Captain America, making same-gender fan interpretation visible inside the game.","The dialogue references fan culture; it does not establish Iron Man and Captain America as a canonical couple or confirm either character's sexual orientation.",https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"Recorded as an intertextual acknowledgment of queer fan practices rather than as two confirmed queer-character records.",en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21
13,Metroid,1986,Samus Aran,character,gender_identity,contested,"The original game withholds Samus's gender until its ending, while manuals used masculine or neutral references. A 1994 interview used the ambiguous Japanese term newhalf, contributing to later readings of Samus as a trans woman.","Later games consistently present Samus as a woman, and the archive cannot determine whether the 1994 remark was serious. The original development account describes the decision to make the armored protagonist a woman, not a canonical transition narrative.",https://lgbtqgamearchive.com/2015/09/04/samus-aran-in-metroid/,"Preserved as reception history and gender-nonconforming/trans interpretation; Samus is not counted as a confirmed transgender character.",en,LGBTQ Video Game Archive,reviewed,medium,Original game; various later versions,2026-08-22
14,It Came from the Desert,1989,Jackie,character,sexuality,creator_refuted,"Some lists interpreted Jackie's use of the word girlfriend for Suzie as evidence that Jackie was lesbian or bisexual.","The archive's examination identifies Jackie as Max Cobb's girlfriend and concludes that girlfriend refers to her platonic woman friend Suzie. It lists no LGBTQ reference in the game and invites contrary primary evidence.",https://lgbtqgamearchive.com/2015/08/27/it-came-from-the-desert/,"Retained to prevent the disproven claim from being re-imported as confirmed representation. Jackie is not counted in the character dataset.",en,LGBTQ Video Game Archive,reviewed,high,Various,2026-08-22
15,Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,1989,Suzi Cheatem,character,sexuality,contested,"A secondary wiki entry has described Suzi as a lesbian, and the game depicts her saying that she enjoys cross-dressing.","The archive found no confirmation that Suzi is lesbian; she also has sex with Larry. Cross-dressing and sexual orientation are separate attributes, so her sexuality is not inferred.",https://lgbtqgamearchive.com/2015/09/10/suzi-in-leisure-suit-larry-3/,"The documented cross-dressing scene is preserved separately from the unconfirmed lesbian claim.",en,LGBTQ Video Game Archive,reviewed,medium,PC,2026-08-22
16,Mike Tyson’s Punch-Out!!,1987,Don Flamenco,character,sexuality,contested,"Don Flamenco's rose, entrance to music from Carmen, grooming references, and effeminate presentation have led some players and reviewers to read him as implicitly gay.","The game never identifies his sexuality, and the archive considers the stereotype-based evidence too implicit to move the character beyond its rumored category.",https://lgbtqgamearchive.com/2015/09/08/don-flamenco-from-mike-tysons-punch-out/,"Preserved as reception history without adding Don Flamenco to the confirmed character dataset.",en,LGBTQ Video Game Archive,reviewed,medium,Nintendo Entertainment System,2026-08-22
17,Dragon Warrior III,1988,Rumored gay bar,location,queer_theme,contested,"Several secondary accounts claim that Nintendo required Enix to remove a gay bar from the original North American localization and that it may have returned in a later Game Boy version.","The available sources provide no specific primary evidence, and other reports state that the alleged location cannot be found in the later release.",https://lgbtqgamearchive.com/2015/08/23/gay-bar-in-dragon-warrior-iii/,"Recorded as a disputed localization claim, not as a confirmed location in any release.",en,LGBTQ Video Game Archive,reviewed,low,Famicom/NES; rumored Game Boy localization,2026-08-22
18,Sonic the Hedgehog 2,1992,Miles “Tails” Prower,character,sexuality,contested,"Some LGBTQ character lists and fan readings interpret Tails's admiration for Sonic and his gender-nonconforming presentation as evidence that he is gay.","The archive found no conclusive evidence that Tails and Sonic are anything other than platonic friends; effeminacy and admiration do not establish sexual orientation.",https://lgbtqgamearchive.com/2015/08/30/tails-from-sonic-the-hedgehog-2/,"Preserved as reception history; Tails is not added to the confirmed character dataset.",en,LGBTQ Video Game Archive,reviewed,low,Sega Genesis,2026-08-22
19,Return of the Phantom,1993,Charles,character,sexuality,contested,"One secondary list describes the effeminate stage manager Charles as possibly gay.","The archive found no supporting evidence beyond perceived effeminacy and notes that he may simply be snide. Gender expression does not establish sexuality.",https://lgbtqgamearchive.com/2015/08/26/charles-in-return-of-the-phantom/,"Not counted as a confirmed gay character.",en,LGBTQ Video Game Archive,reviewed,low,PC,2026-08-22
20,Leisure Suit Larry 6: Shape Up or Slip Out,1993,Cavaricchi,character,sexuality,contested,"Secondary sources variously describe Cavaricchi as lesbian or bisexual.","The archive found no definitive information supporting either label.",https://lgbtqgamearchive.com/2015/09/10/cavaricchi-in-leisure-suit-larry-6/,"Conflicting unsourced labels are preserved only as a contested reading.",en,LGBTQ Video Game Archive,reviewed,low,PC,2026-08-22
21,Darkstalkers: The Night Warriors,1994,Demitri Maximoff,character,sexuality,contested,"One source describes Demitri as bisexual; later games give him a transformation move used on opponents of multiple genders.","The archive found no additional confirmation, and the transformation move begins in Darkstalkers 3 rather than establishing his orientation in the 1994 game.",https://lgbtqgamearchive.com/2015/08/30/demitri-from-darkstalkers-series/,"Not counted as confirmed bisexual representation.",en,LGBTQ Video Game Archive,reviewed,low,Arcade,2026-08-22
22,Tekken,1994,Lee Chaolan,character,sexuality,contested,"Fans have read Lee as gay or bisexual and created same-gender relationship fan works.","The games do not explicitly code him as gay or bisexual, and he has relationships with women.",https://lgbtqgamearchive.com/2015/11/20/lee-in-tekken-series/,"Reception history only; no confirmed character row created.",en,LGBTQ Video Game Archive,reviewed,low,Arcade; series appearances,2026-08-22
23,The King of Fighters ’94,1994,Benimaru Nikaido,character,sexuality,creator_refuted,"Speech and presentation led fans to read Benimaru as gay or queer.","Official Japanese character material explicitly rejects the gay/okama reading, using language that is itself dismissive and culturally loaded.",https://lgbtqgamearchive.com/2015/08/30/benimaru-nikaido-in-king-of-fighters/,"Preserved as reception and creator-response history; not counted as confirmed queer representation.",en,LGBTQ Video Game Archive,reviewed,high,Neo Geo/Arcade,2026-08-22
24,Full Throttle,1995,Uncle Pete,character,sexuality,contested,"Some articles describe Maureen's late Uncle Pete as gay.","The archive found no walkthrough, dialogue, or video evidence supporting the claim.",https://lgbtqgamearchive.com/2015/08/26/uncle-pete-in-full-throttle/,"Not counted as a confirmed character.",en,LGBTQ Video Game Archive,reviewed,low,PC/Mac,2026-08-22
25,Shannara,1995,Seneschal,character,sexuality,contested,"One list calls Seneschal gay, apparently based on his clothing and presentation.","The archive found no corroboration; wearing purple does not establish sexuality.",https://lgbtqgamearchive.com/2015/08/31/seneschal/,"Not counted as a confirmed character.",en,LGBTQ Video Game Archive,reviewed,low,PC,2026-08-22
