character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed,content_availability
389,Tsukasa Okino,13 Sentinels: Aegis Rim,2020,Vanillaware,Atlus,,Adventure,unknown,unknown,non_binary,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/-sentinels-aegis-rim,Represent Me explicitly associates Tsukasa Okino with nonbinary in its entry for 13 Sentinels: Aegis Rim. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,Playstation 4,2026-08-26,not_recorded
390,Alex,A Letter For You!,2019,Maxenau,Maxenau,,Visual novel,unknown,unknown,woman,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/a-letter-for-you-,Represent Me explicitly associates Alex with bisexual in its entry for A Letter For You!. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
391,Penn,A Letter For You!,2019,Maxenau,Maxenau,,Visual novel,unknown,unknown,non_binary,asexual; aromantic,sexual_orientation; romantic_orientation; gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/a-letter-for-you-,Represent Me explicitly associates Penn with asexual; aromantic; nonbinary in its entry for A Letter For You!. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
392,Duve,A New Beginning,2010,Daedalic Entertainment,Lace International,,Adventure,supporting_character,unknown,man,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/a-new-beginning,Represent Me explicitly associates Duve with gay in its entry for A New Beginning. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
393,Saito,AI: The Somnium Files,2019,Spike Chunsoft,Spike Chunsoft,,Adventure,unknown,unknown,not_recorded,asexual; aromantic,sexual_orientation; romantic_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/ai-the-somnium-files,Represent Me explicitly associates Saito with aroace in its entry for AI: The Somnium Files. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PC, Playstation 4, Nintendo Switch",2026-08-26,not_recorded
394,Mama,AI: The Somnium Files,2019,Spike Chunsoft,Spike Chunsoft,,Adventure,supporting_character,unknown,trans_woman,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/ai-the-somnium-files,Represent Me explicitly associates Mama with trans woman in its entry for AI: The Somnium Files. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PC, Playstation 4, Nintendo Switch",2026-08-26,not_recorded
395,Liz,Butterfly Soup,2017,Brianna Lei,Brianna Lei,,Visual novel,unknown,unknown,trans_woman,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/butterfly-soup,Represent Me explicitly associates Liz with trans woman in its entry for Butterfly Soup. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
396,Min-Seo,Butterfly Soup,2017,Brianna Lei,Brianna Lei,,Visual novel,supporting_character,unknown,non_binary,not_recorded,gender_identity,external_source; developer_confirmed,confirmed,,,https://representme.charity/projects/queer/database/title/butterfly-soup,Represent Me explicitly associates Min-Seo with nonbinary in its entry for Butterfly Soup. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free),2026-08-26,not_recorded
397,Thomas,Deadly Premonition,2010,Access Games,Ignition Entertainment,,Horror,unknown,unknown,not_recorded,queer,sexual_orientation,ambiguous,ambiguous,,,https://representme.charity/projects/queer/database/title/deadly-premonition,"Represent Me discusses Thomas in connection with queer, but its wording is interpretive or uncertain. Imported as ambiguous and queued for curator review.",,,,en,Represent Me,needs_verification,low,Various,2026-08-26,not_recorded
398,George,Deadly Premonition,2010,Access Games,Ignition Entertainment,,Horror,unknown,unknown,not_recorded,bisexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/deadly-premonition,Represent Me explicitly associates George with bisexual in its entry for Deadly Premonition. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,Various,2026-08-26,not_recorded
