game_title,release_year,represent_me_url,representation_tags,review_reason
1954 Alcatraz,2014,https://representme.charity/projects/queer/database/title/-alcatraz,Bisexual / plurisexual; Gay; Trans woman,no_explicit_named_character_pattern
8=D~<3,2016,https://representme.charity/projects/queer/database/title/-d-,Gay; Polyamory,no_explicit_named_character_pattern
30 Days Until Wedding Bells,2019,https://representme.charity/projects/queer/database/title/-days-until-wedding-bells,Asexual / aromantic; Trans woman,no_explicit_named_character_pattern
404 Error: Connection Not Found,2017,https://representme.charity/projects/queer/database/title/-error-connection-not-found,Gay,no_explicit_named_character_pattern
[redacted] Life,2016,https://representme.charity/projects/queer/database/title/-redacted-life,Nonbinary / non-conforming,no_explicit_named_character_pattern
7th Dragon III Code: VFD,2015,https://representme.charity/projects/queer/database/title/-th-dragon-iii-code-vfd,Nonbinary / non-conforming; Playersexual; Polyamory; Gay; Lesbian,no_explicit_named_character_pattern
3DXChat,2012,https://representme.charity/projects/queer/database/title/3dx-chat,Playersexual; Polyamory; Other,no_explicit_named_character_pattern
7 Sins,2005,https://representme.charity/projects/queer/database/title/7-sins,Playersexual; Polyamory; Gay; Trans woman; Trans man,no_explicit_named_character_pattern
80 Days,2014,https://representme.charity/projects/queer/database/title/80-days,Playersexual; Gay,no_explicit_named_character_pattern
A Cat With No Tail,2016,https://representme.charity/projects/queer/database/title/a-cat-with-no-tail,Lesbian,no_explicit_named_character_pattern
A Closed World,2011,https://representme.charity/projects/queer/database/title/a-closed-world,Other,no_explicit_named_character_pattern
a Fairy special night,2017,https://representme.charity/projects/queer/database/title/a-fairy-special-night,Gay,no_explicit_named_character_pattern
A Fine Night,2018,https://representme.charity/projects/queer/database/title/a-fine-night,Bisexual / plurisexual; Polyamory; Asexual / aromantic; Nonbinary / non-conforming,no_explicit_named_character_pattern
A Foretold Affair,2017,https://representme.charity/projects/queer/database/title/a-foretold-affair,Nonbinary / non-conforming,no_explicit_named_character_pattern
A Game About Ants,2018,https://representme.charity/projects/queer/database/title/a-game-about-ants,Lesbian,no_explicit_named_character_pattern
A Gay's Life,2019,https://representme.charity/projects/queer/database/title/a-gay-s-life,Gay,no_explicit_named_character_pattern
A Good Snowman is Hard to Build,2015,https://representme.charity/projects/queer/database/title/a-good-snowman-is-hard-to-build,Cross-dressing; Nonbinary / non-conforming,no_explicit_named_character_pattern
A Hand in the Darkness,2017,https://representme.charity/projects/queer/database/title/a-hand-in-the-darkness,Gay,no_explicit_named_character_pattern
A House of Many Doors,2017,https://representme.charity/projects/queer/database/title/a-house-of-many-doors,Nonbinary / non-conforming; Gay; Lesbian; Playersexual; Bisexual / plurisexual,no_explicit_named_character_pattern
A Little Lily Princess,2016,https://representme.charity/projects/queer/database/title/a-little-lily-princess,Lesbian,no_explicit_named_character_pattern
A Matter of Dosage,2019,https://representme.charity/projects/queer/database/title/a-matter-of-dosage,Bisexual / plurisexual; Asexual / aromantic; Lesbian; Nonbinary / non-conforming; Polyamory,no_explicit_named_character_pattern
A Meadow of Opal,2017,https://representme.charity/projects/queer/database/title/a-meadow-of-opal,Nonbinary / non-conforming; Gay; Lesbian; Trans man; Trans woman,no_explicit_named_character_pattern
A Midsummer Day's Resonance,2005,https://representme.charity/projects/queer/database/title/a-midsummer-days-resonance,Lesbian,no_explicit_named_character_pattern
A Moment Between Us,2018,https://representme.charity/projects/queer/database/title/a-moment-between-us,Trans woman,no_explicit_named_character_pattern
A Mortician's Tale,2017,https://representme.charity/projects/queer/database/title/a-mortician-s-tale,Bisexual / plurisexual; Lesbian; Gay; Intersex; Nonbinary / non-conforming; Trans man; Trans woman,no_explicit_named_character_pattern
a new life,2020,https://representme.charity/projects/queer/database/title/a-new-life,Lesbian; Trans woman,no_explicit_named_character_pattern
A Nice Date,2018,https://representme.charity/projects/queer/database/title/a-nice-date,Lesbian,no_explicit_named_character_pattern
A Night Out,2018,https://representme.charity/projects/queer/database/title/a-night-out,Trans woman,no_explicit_named_character_pattern
A Normal Lost Phone,2017,https://representme.charity/projects/queer/database/title/a-normal-lost-phone,Bisexual / plurisexual; Trans woman; Trans man,no_explicit_named_character_pattern
A Paralogue Between Girls,2016,https://representme.charity/projects/queer/database/title/a-paralogue-between-girls,Lesbian; Bisexual / plurisexual,no_explicit_named_character_pattern
A Place to Fuck Each Other,2014,https://representme.charity/projects/queer/database/title/a-place-to-fuck-each-other,Bisexual / plurisexual; Lesbian; Trans woman,no_explicit_named_character_pattern
A Real Game,2016,https://representme.charity/projects/queer/database/title/a-real-game,Other,no_explicit_named_character_pattern
A Slow Ride,2018,https://representme.charity/projects/queer/database/title/a-slow-ride,Asexual / aromantic,no_explicit_named_character_pattern
A Small Encounter,2017,https://representme.charity/projects/queer/database/title/a-small-encounter,Lesbian,no_explicit_named_character_pattern
A Smashing Day Out,2009,https://representme.charity/projects/queer/database/title/a-smashing-day-out,Gay,no_explicit_named_character_pattern
A Tavern For Tea,2019,https://representme.charity/projects/queer/database/title/a-tavern-for-tea,Gay,no_explicit_named_character_pattern
"A Werewolf Opportunity, Obviously",2018,https://representme.charity/projects/queer/database/title/a-werewolf-opportunity-obviously,Gay,no_explicit_named_character_pattern
A Wild Catgirl Appears,2016,https://representme.charity/projects/queer/database/title/a-wild-catgirl-appears,Lesbian,no_explicit_named_character_pattern
Abducted,2019,https://representme.charity/projects/queer/database/title/abducted,Gay; Lesbian; Bisexual / plurisexual,no_explicit_named_character_pattern
Aberrant,1999,https://representme.charity/projects/queer/database/title/aberrant,Gay,no_explicit_named_character_pattern
Abigail,2010,https://representme.charity/projects/queer/database/title/abigail,Lesbian,no_explicit_named_character_pattern
Acceptance,2015,https://representme.charity/projects/queer/database/title/acceptance,Trans woman; Trans man,no_explicit_named_character_pattern
Ace Attorney series,2001 – 2016,https://representme.charity/projects/queer/database/title/ace-attorney,Cross-dressing; Gay; Lesbian; Nonbinary / non-conforming,aggregate_page_requires_game_version
Ace Baker,2018,https://representme.charity/projects/queer/database/title/ace-baker,Asexual / aromantic,no_explicit_named_character_pattern
Ace Mage: Through a Desert,2018,https://representme.charity/projects/queer/database/title/ace-mage-through-a-desert,Asexual / aromantic,no_explicit_named_character_pattern
Ace of Hearts,2019,https://representme.charity/projects/queer/database/title/ace-of-hearts,Asexual / aromantic; Lesbian,no_explicit_named_character_pattern
Ace Systems Go!,2019,https://representme.charity/projects/queer/database/title/ace-systems-go-,Asexual / aromantic; Polyamory; Bisexual / plurisexual; Other,no_explicit_named_character_pattern
Ace Trolley Pilot,2019,https://representme.charity/projects/queer/database/title/ace-trolley-pilot,Asexual / aromantic,no_explicit_named_character_pattern
Acetone,2018,https://representme.charity/projects/queer/database/title/acetone,Asexual / aromantic,no_explicit_named_character_pattern
Acetylene,2019,https://representme.charity/projects/queer/database/title/acetylene,Asexual / aromantic; Gay; Nonbinary / non-conforming; Other,no_explicit_named_character_pattern
Action! Regroup! Move!,2017,https://representme.charity/projects/queer/database/title/action-regroup-move-,Other,no_explicit_named_character_pattern
Adventures of Bertram Fiddle,2017,https://representme.charity/projects/queer/database/title/adventures-of-bertram-fiddle,Gay,no_explicit_named_character_pattern
Adventures with Anxiety!,2019,https://representme.charity/projects/queer/database/title/adventures-with-anxiety,Nonbinary / non-conforming,no_explicit_named_character_pattern
Aerannis,2015,https://representme.charity/projects/queer/database/title/aerannis,Trans woman,no_explicit_named_character_pattern
After the Bell Rings,2015,https://representme.charity/projects/queer/database/title/after-the-bell-rings,Lesbian,no_explicit_named_character_pattern
AGORA,2016,https://representme.charity/projects/queer/database/title/agora,Other,no_explicit_named_character_pattern
AIRIS,2017,https://representme.charity/projects/queer/database/title/airis,Lesbian; Nonbinary / non-conforming,no_explicit_named_character_pattern
Alexa's Wild Night,2017,https://representme.charity/projects/queer/database/title/alexa-s-wild-night,Lesbian,no_explicit_named_character_pattern
Alice in Stardom,2019,https://representme.charity/projects/queer/database/title/alice-in-stardom,Lesbian,no_explicit_named_character_pattern
